name,pt_min,pt_max,eta_min,eta_max,corr
Th0,5,25,1.4,1.72,0.9999999999999999
Th135,5,25,1.4,1.72,0.9859104062738684
NeweLinkbiased_66_test,5,25,1.4,1.72,0.7718415740875701
Th0,5,25,1.72,2.04,0.9999999999999999
Th135,5,25,1.72,2.04,0.979799256857053
NeweLinkbiased_66_test,5,25,1.72,2.04,0.6287224212271337
Th0,5,25,2.04,2.36,1.0
Th135,5,25,2.04,2.36,0.9422063823119599
NeweLinkbiased_66_test,5,25,2.04,2.36,0.7364224502168182
Th0,5,25,2.36,2.68,0.9999999999999999
Th135,5,25,2.36,2.68,0.950562624909132
NeweLinkbiased_66_test,5,25,2.36,2.68,0.4593379721588556
Th0,5,25,2.68,3.0,0.9999999999999999
Th135,5,25,2.68,3.0,0.8787739227479261
NeweLinkbiased_66_test,5,25,2.68,3.0,0.6684105731674578
Th0,25,50,1.4,1.72,1.0
Th135,25,50,1.4,1.72,0.9964505193323145
NeweLinkbiased_66_test,25,50,1.4,1.72,0.4835998237958963
Th0,25,50,1.72,2.04,0.9999999999999999
Th135,25,50,1.72,2.04,0.8225503219469409
NeweLinkbiased_66_test,25,50,1.72,2.04,0.6870119420827102
Th0,25,50,2.04,2.36,1.0
Th135,25,50,2.04,2.36,0.9092474520362066
NeweLinkbiased_66_test,25,50,2.04,2.36,0.6270289272871259
Th0,25,50,2.36,2.68,0.9999999999999999
Th135,25,50,2.36,2.68,0.9032328207186754
NeweLinkbiased_66_test,25,50,2.36,2.68,0.49439534253663
Th0,25,50,2.68,3.0,0.9999999999999999
Th135,25,50,2.68,3.0,0.9059186885602413
NeweLinkbiased_66_test,25,50,2.68,3.0,0.4616504797259961
Th0,0,100,1.4,1.72,1.0
Th135,0,100,1.4,1.72,0.9918377608848096
NeweLinkbiased_66_test,0,100,1.4,1.72,0.6549016859110416
Th0,0,100,1.72,2.04,1.0
Th135,0,100,1.72,2.04,0.9937559578703027
NeweLinkbiased_66_test,0,100,1.72,2.04,0.808886738395162
Th0,0,100,2.04,2.36,1.0
Th135,0,100,2.04,2.36,0.9936313954264625
NeweLinkbiased_66_test,0,100,2.04,2.36,0.7520251187267032
Th0,0,100,2.36,2.68,0.9999999999999999
Th135,0,100,2.36,2.68,0.9897044348451813
NeweLinkbiased_66_test,0,100,2.36,2.68,0.7938886946428084
Th0,0,100,2.68,3.0,0.9999999999999999
Th135,0,100,2.68,3.0,0.9813238025330084
NeweLinkbiased_66_test,0,100,2.68,3.0,0.7496814440831988
